,nombre_atrezzo,categoria_atrezzo,seccion_atrezzo,descripcion_atrezzo,largo,ancho,alto,imagen_atrezzo
29,DES30,Atrezzo despacho,Máquinas de escribir  Despacho  ,Máquina de escribir antigua Underwood pequeña,1,1,1,https://atrezzovazquez.es/admin/img_prod/DES30/DES30-720x540.png
30,BA30,Baño,Lavabo  ,Lavabo ovalado sin grifo y sin pie,56,47,10,https://atrezzovazquez.es/admin/img_prod/BA30/BA30-720x540.png
31,BEB30,Bebé,Descatalogado  ,,0,0,0,https://atrezzovazquez.es/admin/img_prod/BEB30/LOGOTIPO VAZQUEZ- 720x540.png
32,CST30,Moda y costura,Maniquí  ,Maniquí de modista pie madera torneada,25,163,53,https://atrezzovazquez.es/admin/img_prod/CST30/CST030-1-720x540.png
33,CAR30,Caja registradora,Calculadoras  Despacho  ,Calculadora eléctrica con rodillo,1,1,1,https://atrezzovazquez.es/admin/img_prod/CAR30/CAR30 (DES121)-720x540.png
34,CRI30,Cristalería,,Copas cristaal rensado tallado,1,1,1,https://atrezzovazquez.es/admin/img_prod/CRI30/CRI30-720x540.png
35,MC30,Macetero,Bambú  Jardín  ,Macetero bambú hexagonal 4 patas,30,30,103,https://atrezzovazquez.es/admin/img_prod/MC30/MC30-1-720x540.png
36,ME30,Mesilla,Dormitorio  Español  ,Mesilla tocinera estilo español 1 cajón,51,40,52,https://atrezzovazquez.es/admin/img_prod/ME30/ME30-1-720x540.png
37,VET30,Ventilador,,Ventilador de suelo azul 3 aspas,1,1,130,https://atrezzovazquez.es/admin/img_prod/VET30/VET30-720x540.png
38,REL30,Reloj,Salón  ,Reloj de pared caoba copete forma,1,1,1,https://atrezzovazquez.es/admin/img_prod/REL30/REL30-720x540.png
39,TEL30,Telefonía,,Telefonillos de pared de casa,0,0,0,https://atrezzovazquez.es/admin/img_prod/TEL30/TLF30-720x540.png
40,MYN30,Maletas y neceseres de viaje,Viaje  ,Maleta fibra marrón claro cierres metal,80,50,25,https://atrezzovazquez.es/admin/img_prod/MYN30/MYN30-720x540.png
41,TOC30,Objetos de tocador,Tocador  ,Juego de tocador cristal tallado y metal (5 piezas) con bandeja,0,0,0,https://atrezzovazquez.es/admin/img_prod/TOC30/TOC30-720x540.png
42,JUG30,Juguetes,Juguete  ,Bolsas de canicas,0,0,0,https://atrezzovazquez.es/admin/img_prod/JUG30/JUG30-720x540.png
43,JAR30,Jarrones y jarras,Adorno  Decoración  Salón  ,Jarrón Talavera amarillo y azul águilas y escudo,0,0,0,https://atrezzovazquez.es/admin/img_prod/JAR30/JAR30-720x540.png
44,MYS30,Tocadiscos y altavoces,Electrónica  Musica  Sonido  ,Tocadiscos plástico negro tapa plástico,0,0,0,https://atrezzovazquez.es/admin/img_prod/MYS30/MYS30-720x540.png
45,TP30,Tapices y estandartes,Salón  ,Tapiz bordado terciopelo ciervos con flecos azules,190,0,120,https://atrezzovazquez.es/admin/img_prod/TP30/TP30-720x540.png
46,ML30,Librería,Despacho  Modernista  Salón  ,Librería modernista limoncillo con marquetería,212,58,248,https://atrezzovazquez.es/admin/img_prod/ML30/ML30-2-720x540.png
47,MED30,Atrezzo medicina,Hospital  Medicina  ,Frascos de laboratorio antiguos cristal,0,0,0,https://atrezzovazquez.es/admin/img_prod/MED30/MED30-720x540.png
0,HOS30,Hospitales,Hospital  Medicina  ,Carro de ropa hospital niquelado y blanco,70,46,80,https://atrezzovazquez.es/admin/img_prod/HOS30/HOS30-1-720x540.png
1,VAA30,Atrezzo vario,Hotel  ,Timbre de hotel metal grabado antiguo,0,0,0,https://atrezzovazquez.es/admin/img_prod/VAA30/VAA30-720x540.png
2,RAD30,Radios,,Radio antigua pequeña Philips,1,1,1,https://atrezzovazquez.es/admin/img_prod/RAD30/RAD30-1-720x540.png
3,SI30,Sillón,Jardín  Sillería  ,Sillón Maplé verde tapizado tela flores,55,50,105,https://atrezzovazquez.es/admin/img_prod/SI30/SI30-1-720x540.png
4,MV30,Muebles varios,Casillero  Hotel  ,Casillero de pino plastificado,95,29,82,https://atrezzovazquez.es/admin/img_prod/MV30/MV30-1-720x540.png
5,JUE30,Juego,Billar  ,Juego de bolas de billar con triángulo,30,30,5,https://atrezzovazquez.es/admin/img_prod/JUE30/JUE30-720x540.png
6,SIL30,Silla,Jardín  Sillería  ,Silla maple verde tapizada flores,39,37,93,https://atrezzovazquez.es/admin/img_prod/SIL30/SIL30 (HAY 5) 720x540.png
7,S30,Sofá,Jardín  Sillería  ,Sofá maple pintado verde asiento tapizado,130,60,105,https://atrezzovazquez.es/admin/img_prod/S30/S30-1-720x540.png
8,TYV30,Televisores y vídeos,Televisor  ,"Televisión caja formica madera TVA 21"" (B/N)",70,33,50,https://atrezzovazquez.es/admin/img_prod/TYV30/TYV30-720x540.png
9,PV30,Pie de vela,Iglesia  Medieval  ,Pie de vela hierro soporte ajustable,0,0,155,https://atrezzovazquez.es/admin/img_prod/PV30/PV30-720x540.png
10,VI30,Vitrina,Iglesia  ,Vitrina hornacina nogal con tejado,32,28,80,https://atrezzovazquez.es/admin/img_prod/VI30/VI30-720x540.png
11,PER30,Perchero,Tienda  ,Perchero burro tubo niquelado con ruedas,149,40,195,https://atrezzovazquez.es/admin/img_prod/PER30/PER30-720x540.png
12,MOU30,Mobiliario urbano,,Señal tráfico francesa PROPIEDAD PRIVADA,0,0,0,https://atrezzovazquez.es/admin/img_prod/MOU30/MOU30-720x540.png
13,CDM30,Centro de mesa,,Centro de mesa de plástico forma concha,0,0,0,https://atrezzovazquez.es/admin/img_prod/CDM30/CDM30-720x540.png
14,FIG30,Figuras,Adorno  ,Figura de loza artesanía mujer (campana),0,0,0,https://atrezzovazquez.es/admin/img_prod/FIG30/FIG30-720x540.png
15,PLA30,Playa,Sombrillas  ,Sombrilla tela lisa naranja,0,0,0,https://atrezzovazquez.es/admin/img_prod/PLA30/PLA30-720x540.png
16,REG30,Religión,Descatalogado  ,,0,0,0,https://atrezzovazquez.es/admin/img_prod/REG30/LOGOTIPO VAZQUEZ- 720x540.png
17,RU30,Rural,,Pie de tinaja de madera,0,0,0,https://atrezzovazquez.es/admin/img_prod/RU30/RU30-720x540.png
18,ALF31,Alfombra,Arabe  Comedor  Salón  ,Alfombra persa roja y crema con flecos,245,200,1,https://atrezzovazquez.es/admin/img_prod/ALF31/ALF31-720x540.png
19,AFC31,Alfombra de cama,Dormitorio  ,Alfombrin de cama verde,120,60,1,https://atrezzovazquez.es/admin/img_prod/AFC31/AFC31-720x540.png
20,AP31,Aparador,Valenciano  Comedor  ,Vitrina comedor valenciano caoba a juego AP30,140,49,184,https://atrezzovazquez.es/admin/img_prod/AP31/AP31-1-720x540.png
21,ARC31,Arcon,Dormitorio  Español  ,Arcón pino cuarterones,90,40,46,https://atrezzovazquez.es/admin/img_prod/ARC31/ARC31-1-720x540.png
22,AR31,Armario,Dormitorio  Inglesa  ,Armario inglés caoba 4 puertas (juego dormitorio),195,60,193,https://atrezzovazquez.es/admin/img_prod/AR31/AR31-720x540.png
23,BAC31,Banco,,Banco patas torneadas terciopelo marrón,145,50,45,https://atrezzovazquez.es/admin/img_prod/BAC31/BAC31-1-720x540.png
24,BAN31,Banqueta,Salón  ,Banqueta puf tapizado skay negro,50,50,33,https://atrezzovazquez.es/admin/img_prod/BAN31/BAN31-1-720x540.png
25,BAU31,Baul,Mimbre  Almacenaje  ,Baúl forrado lona con cinchas madera,94,50,61,https://atrezzovazquez.es/admin/img_prod/BAU31/BAU31-1-720x540.png
26,BIO31,Biombo,Despacho  ,Biombo separador de 2 hojas moqueta marrón,194,2,210,https://atrezzovazquez.es/admin/img_prod/BIO31/BIO31-720x540.png
27,CA31,Cama,Dormitorio  ,Cabecero plumeado claro con marquetería,150,10,152,https://atrezzovazquez.es/admin/img_prod/CA31/CA31-720x540.png
28,CO31,Cocinas,Varios cocina  ,Fregadero de cocina de loza 2 senos,100,50,21,https://atrezzovazquez.es/admin/img_prod/CO31/CO31-720x540.png
29,COM31,Comoda,Comodín  Dormitorio  Frances  ,Comodín Luis XV nogal 3 cajones y 2 puertas,110,67,77,https://atrezzovazquez.es/admin/img_prod/COM31/COM31-1-720x540.png
30,CON31,Consola,Italiano  Recibidor  ,Consola italiana tapa embero patas negras,100,30,79,https://atrezzovazquez.es/admin/img_prod/CON31/CON31-1-720x540.png
31,CU31,Cuadro,Retratos  ,Lienzo óleo príncipe con uniforme,95,5,123,https://atrezzovazquez.es/admin/img_prod/CU31/CU31-720x540.png
32,ANU31,Carteles y anuncios,Bar y cafetería  ,Cartel chapa cerveza Pastora,5,1,15,https://atrezzovazquez.es/admin/img_prod/ANU31/ANU31-720x540.png
33,ESP31,Espejo,Comedor  ,Espejo valenciano de aparador con copete,150,15,105,https://atrezzovazquez.es/admin/img_prod/ESP31/ESP31-720x540.png
34,ES31,Estanteria,Despacho  Rústico  ,Estantería cerrada 3 puertas,110,31,100,https://atrezzovazquez.es/admin/img_prod/ES31/ES31-1-720x540.png
35,EST31,Estufa,Calefaccion  ,Estufa chubesqui hierro 3 patas,20,20,48,https://atrezzovazquez.es/admin/img_prod/EST31/EST31-720x540.png
36,ESTAT31,Estatua,Religioso  ,Estatua imagen Santo con niño de escayola,22,20,70,https://atrezzovazquez.es/admin/img_prod/ESTAT31/ESTAT31-1-720x540.png
37,F31,Fichero,Despacho  ,Fichero metálico marrón 2 puertas plegables,120,45,106,https://atrezzovazquez.es/admin/img_prod/F31/F31-1-720x540.png
38,MUS31,Instrumentos musicales,Musica  ,Djembe africano,1,1,1,https://atrezzovazquez.es/admin/img_prod/MUS31/MUS31 (INM18)-720x540.png
39,ADO31,Adornos,Salón  ,Figura bronce pequeña mujer antigua golfista,1,1,1,https://atrezzovazquez.es/admin/img_prod/ADO31/ADO31-720x540.png
40,DPT31,Deporte,Bicicleta  ,Bicicleta hombre antigua,170,15,80,https://atrezzovazquez.es/admin/img_prod/DPT31/BIC3-720x540.png
